,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
InceptionV3,299,299,3,3,32,2,0,,conv_conv2d
InceptionV3,149,149,32,3,32,1,0,,conv_1_1/conv2d
InceptionV3,147,147,32,3,64,1,1,,conv_2_2/conv2d
InceptionV3,73,73,64,1,80,1,0,,conv_3_3/conv2d
InceptionV3,17,17,768,1,128,1,0,,mixed_4/tower_1_conv_conv2d
InceptionV3,73,73,64,1,80,1,0,,Conv2d_3b
InceptionV3,35,35,192,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,192,1,48,1,0,,Branch_1_Conv2d_0a
InceptionV3,35,35,192,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,192,1,32,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,256,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,256,1,48,1,0,,Branch_1_Conv2d_0b
InceptionV3,35,35,256,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,256,1,64,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,288,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,288,1,48,1,0,,Branch_1_Conv2d_0a
InceptionV3,35,35,288,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,288,1,64,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,288,1,64,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,128,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,128,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,1280,1,320,1,0,,Branch_0_Conv2d_0a
InceptionV3,8,8,1280,1,384,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,1280,1,448,1,0,,Branch_2_Conv2d_0a
InceptionV3,8,8,1280,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,8,8,2048,1,320,1,0,,Branch_0_Conv2d_0a
InceptionV3,8,8,2048,1,384,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,2048,1,448,1,0,,Branch_2_Conv2d_0a
InceptionV3,8,8,2048,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,1,1,2048,1,1001,1,0,,Logits_Conv2d_1c
InceptionV3,299,299,3,3,32,2,0,,Conv2d_1a
InceptionV3,149,149,32,3,32,1,0,,Conv2d_2a
InceptionV3,147,147,32,3,64,1,1,,Conv2d_2b
InceptionV3,73,73,80,3,192,1,0,,Conv2d_4a
InceptionV3,35,35,64,3,96,1,1,,Branch_2_Conv2d_0b
InceptionV3,35,35,96,3,96,1,1,,Branch_2_Conv2d_0c
InceptionV3,35,35,64,3,96,1,1,,Branch_2_Conv2d_0b
InceptionV3,35,35,96,3,96,1,1,,Branch_2_Conv2d_0c
InceptionV3,35,35,64,3,96,1,1,,Branch_2_Conv2d_0b
InceptionV3,35,35,96,3,96,1,1,,Branch_2_Conv2d_0c
InceptionV3,35,35,288,3,384,2,0,,Branch_0_Conv2d_1a
InceptionV3,35,35,64,3,96,1,1,,Branch_1_Conv2d_0b
InceptionV3,35,35,96,3,96,2,0,,Branch_1_Conv2d_1a
InceptionV3,17,17,192,3,320,2,0,,Branch_0_Conv2d_1a
InceptionV3,17,17,192,3,192,2,0,,Branch_1_Conv2d_1a
InceptionV3,8,8,448,3,384,1,1,,Branch_2_Conv2d_0b
InceptionV3,8,8,448,3,384,1,1,,Branch_2_Conv2d_0b
InceptionV3,35,35,48,5,64,1,2,,Branch_1_Conv2d_0b
InceptionV3,35,35,48,5,64,1,2,,Branch_1_Conv_1_0c
InceptionV3,35,35,48,5,64,1,2,,Branch_1_Conv2d_0b
